feature,importance
revenue_per_click,0.5050233708770947
budget_utilization,0.13267845021979383
total_revenue,0.04378747700937032
profit,0.04137037739099567
budget,0.03393687250116374
conversions_per_click,0.0303315950575807
clicks_per_rupee,0.02830101490076958
log_profit,0.027952468588265295
avg_ctr,0.02711864406779661
total_clicks,0.02223864089362966
platform_3,0.019936095644796214
log_revenue,0.019741159415682892
total_conversions,0.018020704441029937
platform_2,0.014166648086029668
log_spend,0.013559322033898305
total_impressions,0.010169491525423728
total_spend,0.007106179984110416
obj_Sales,0.0038529834761620806
days_active,0.0007085038864066172
obj_Engagement,0.0
obj_Traffic,0.0
